cantonese_140916_361014-04	我地唐人好兴话烧红个镬呀又跟住落油呀落姜
cantonese_140916_361014-07	哩将啲镬烧到好红本身一间屋就油烟好犀利啦唔系
cantonese_140916_361014-08	系咪噉嗰个油烧到好高温嘅时侯哩遮虽然有镬气呀
cantonese_140916_361014-09	但系呢嗰个油嘅质哩你知嗰个化学成份就有所改变咗个囉噃
cantonese_140916_361014-10	噉而菜心哩有阵时哩佢炒得嚟哩比较干左啲
cantonese_140916_361014-11	啲韧左啲呀如果牙齿唔好嘅哩有啲人就食呢啲炒菜心哩可能就觉得韧
cantonese_140916_361014-14	片姜跟住哩就落一羹盐一羹糖同埋一羹油呢个甘唔系
cantonese_140916_361014-26	喺煮嘅时候佢预先将佢煮晕左同埋啲姜味呀油呀都喺
cantonese_140916_361014-27	水里变混和左你放左菜心落去之后哩嗰啲混和左嘅水哩已经
cantonese_140916_361014-29	水蒸佢菜嘅甜味唔会流失晒喺嗰个水裏边呀吗	
cantonese_140916_361032-01	伊拉克所主导嘅这呢个国际嘅联盟哩这美国方面主导嘅联盟哩可
cantonese_140916_361032-03	这担心嘅就系当我地去到海外度假或者公干呀甚至系
cantonese_140916_361032-04	探亲嘅时候哩都担心哩就系被人成为呢个袭击嘅对象咖噉不过
cantonese_140916_361032-05	哩就唔系个个都好似下反对呢个派兵嘅决定嘅怎咩前
cantonese_140916_361032-06	澳洲陆军总司令利崖哩就话喇虽然协助伊拉克打击伊
cantonese_140916_361032-07	兰国武装份子哩存在一定嘅风险但系哩佢就话有必要哩系作出
cantonese_140916_361032-10	成功嘅指标哩就系要阻止极度组织伊斯兰国哩
cantonese_140916_361032-11	令到佢地唔能够继续行动咖噉除此之外哩区域间之间嘅国
cantonese_140916_361032-12	家嘅参与哩都系重要嘅因素之一噉啊利崖又话哩希望见到各国哩能够
cantonese_140916_361032-13	一齐解决区域性嘅问题噉佢又话哩呢啲国家哩先至系唯一能
cantonese_140916_361032-15	策略同呀国防研究中心嘅教授碧兰斯年特哩佢其
cantonese_140916_361032-16	啫都同意邻近伊拉克同叙利亚嘅国家啦应该积极噉样对抗
cantonese_140916_361032-17	伊斯兰国组织咖噉但系佢就质疑澳洲做紧嘅前期计划哩
cantonese_140916_361032-18	系唔足够咖而佢地哩系未有足够嘅前期计划去
cantonese_140916_361032-21	啊伊拉克同叙利亚以至系佢地邻近国家死左数以万
cantonese_140916_361032-22	计嘅人而澳洲哩都冇系介入事件佢又反问呀点解而
cantonese_140916_361032-24	几充份个邻国不过对于我地呢啲小市民嚟讲呀澳洲派军
cantonese_140916_361032-25	军哩对于我地有啲乜野嘅切身影响哩览其实哩国立大学系
cantonese_140916_361032-26	下嘅亚洲及太平洋学院副教授菲利哩就话喇喺印
cantonese_140916_361032-27	尼呀由于某一啲人哩同伊斯兰国哩系有密切嘅关系呀噉所以佢认为
cantonese_140916_361032-28	为呀当地可能会多左一啲恐怖袭击嘅事件噉又话哩因为澳洲
cantonese_140916_361032-29	参与伊拉克嘅军事活动呀噉令到去当地嘅澳洲人哩好容易就会
cantonese_140916_361200-01	组织英文简称发表佢地最新嘅研究报告令大众
cantonese_140916_361200-02	对澳洲沿海嘅污染有更深嘅认识噉肉眼睇得见嘅海水污染物又边
cantonese_140916_361200-03	呢啲哩哪其实垃圾有好多㗎常见嘅有玻璃胶樽罐袋气球
cantonese_140916_361200-04	橡胶金属玻璃纤维烟头同埋其他人工制品佢地喺大
cantonese_140916_361200-05	海中同埋沿岸海域漂浮可以令到珊瑚礁窒息仲会杀害野生动
cantonese_140916_361200-06	食物对人类嘅健康亦都会构成威胁今次嘅研究系全
cantonese_140916_361200-07	球最大型嘅海洋垃圾资料收集噉佢有几大型哩原来沿住澳
cantonese_140916_361200-08	洲整条海岸线每隔大约一百公里就会搜集数据一次啲研究
cantonese_140916_361200-09	员发现沿岸嘅垃圾有大约四分之三系塑胶制品呢啲垃圾大部份
cantonese_140916_361200-10	唔系喺公海中而系喺澳洲嘅水域里面并且以城市附近嘅海域就
cantonese_140916_361200-11	更为集中哪唔同嘅水域塑胶垃圾嘅密度有所不同一啲相对较干
cantonese_140916_361200-12	净嘅水域每一平方公里有几千件塑胶垃圾但系污染程度严重
cantonese_140916_361200-13	重㗎达到每平方公里四万几件哪听落去真系有啲耸人听闻哪讲
cantonese_140916_361200-14	返啲垃圾喇原来全球有三分之一嘅海龟都试过将啲垃圾食左落肚
cantonese_140916_361200-15	据嘅科学家表示自从塑胶制品喺一
cantonese_140916_361200-16	一九五零年代开始生产以例海龟将啲垃圾食落肚嘅情况越
cantonese_140916_361200-17	嚟越令人担忧澳洲北部有一个海湾叫做卡宾塔利亚
cantonese_140916_361200-18	湾如果大家睇澳洲地图嘅话噉佢就喺澳洲最上端正中嘅地方
cantonese_140916_361200-19	好容易就揾得出嚟咖喇据估计单系喺该处经已有五千
cantonese_140916_361200-20	至到一万五千只海龟因为吞下左喺海中浮沉嘅废弃渔网而
cantonese_140916_361200-21	招致杀身之祸而呢一啲渔网大部份唔系澳洲嘅本地产物至于澳
cantonese_140916_361200-22	洲南面嘅塔斯曼海系海鸟中招嘅温床海鸟好多时唔会分
cantonese_140916_361200-23	辨边啲海中嘅物件系可以食得或者唔食得咖噉经过侦察
cantonese_140916_361200-24	察所知全球有一半嘅海鸟好有可能会将啲垃圾吞落肚包括系
cantonese_140916_361200-25	汽球发光棒工业用塑料粒橡胶发泡胶同埋绳索但系有
cantonese_140916_361200-26	百份之四十三塔斯曼海嘅海鸟嘅胃部被人揾出含有塑胶物质如
cantonese_140916_361200-27	如果塑料制品以固定嘅步伐继续增长落去嘅话噉预料到左二零
cantonese_140916_361200-28	五零年全球所有海鸟嘅品种之中有九成五嘅品种将会吞过
cantonese_140916_361200-29	表示佢地如果能够揾出呢啲垃圾嘅源头同埋边一道系温床嘅话噉
cantonese_140916_361200-30	噉将会对佢地制定出如何应付海洋垃圾嘅解决方法甚有帮助
cantonese_140916_361202-01	田第一城哩屋苑嘅居民委员会呀贴出左通告
cantonese_140916_361202-02	噉呼吁居民哩星期日拒绝光顾喺第一城商场
cantonese_140916_361202-03	场之内嘅百佳超市咖哪除左罢卖一日之外哩佢地
cantonese_140916_361202-04	仲封闭百佳卸货区三十六个钟头以示不满
cantonese_140916_361202-05	屋苑委员会呀由晚上八点至早上八点哩封闭卸货
cantonese_140916_361202-06	货区禁止成办商落货咖噉卸货区外边哩有围
cantonese_140916_361202-07	栏呀阻止货车停泊同埋落货亦都有保安人员哩喺现场驻
cantonese_140916_361202-08	守百佳于是哩要赶喺夜晚八点之前呀
cantonese_140916_361202-09	啫系被禁止使用屋苑嘅卸货区之前完成卸货嘅工
cantonese_140916_361202-10	公咀噉居民哩要求百佳超市货物唔好再哩做
cantonese_140916_361202-11	阻塞公众通道提升货品嘅质素同埋缩短
cantonese_140916_361202-12	付款排队哩至到哩唔多于十五分钟啫系
cantonese_140916_361202-13	三个字咖哪身兼第一城委员会主席嘅沙田区议
cantonese_140916_361202-14	议员黄家荣话第一城商场翻新之后呀屋
cantonese_140916_361202-15	苑内嘅百佳超市啫又两间变得嘞只剩番一间
cantonese_140916_361202-16	嗳三个月以嚟呀已经收到多宗居民嘅投诉喇噉主要
cantonese_140916_361202-17	就话超市出售嘅生果发毛蔬菜腐烂甚至哩
cantonese_140916_361202-18	出售过期嘅牛奶呀怀疑系因为人手唔够冇人整理货
cantonese_140916_361202-19	品所指居民又投诉呀超市一共哩设有十二个收
cantonese_140916_361202-20	银柜台但系好多时只系开得一半呀就算繁忙时间都
cantonese_140916_361202-21	都系噉而夜晚哩冇噤繁忙嘅时间有时更加只系开两个柜台
cantonese_140916_361202-22	嘅啫顾客排队畀钱往往要等成半个钟至到四十五分
cantonese_140916_361202-23	钟咖居民话百佳超市嘅人手严重不足无论系
cantonese_140916_361202-24	理货员呀收银员都唔够先至会导致噤多问题之前
cantonese_140916_361202-25	都曾经哩先后多次去信百佳超市要求改善
cantonese_140916_361202-26	但系都冇结果先至会决定哩今次发起罢买同埋禁止
cantonese_140916_361202-28	嘅话哩噉其实就可以光顾区内其他嘅超级市场㗎噉唔一定
cantonese_140916_361202-30	啲野哩就你情我愿咖吗顾客唔满意啲服务可以光顾第二间
cantonese_140917_361288-02	最近哩有关医疗上面嘅计划呀噉而系墨尔本哩一班科研界同埋医学
cantonese_140917_361288-03	界嘅人士哩就聚集起嚟呀支持艾宝德政府计划嘅医疗研究
cantonese_140917_361288-04	基金噉佢地认为哩联邦政府计划拨出二百亿元嘅基金哩将会
cantonese_140917_361288-05	为对抗目前澳洲嘅医疗病症系尤其重要噉包括哩一啲
cantonese_140917_361288-06	慢性嘅疾病呀噉潘浩扬你知唔知道哩单单喺澳洲哩其实有几多人患上
cantonese_140917_361288-07	慢性疾病嘅哩我真系唔知喎噉我览应该都唔会好多嘅啫呀噉就
cantonese_140917_361288-08	唔系好啱喇噉点解噉讲哩可能因为压力哩就真系实在太大呀
cantonese_140917_361288-09	特别系工作压力方面啦又或者系其他相关嘅因素嗱好似我地呢啲都
cantonese_140917_361288-10	士人哩好容易就会患上呢个慢性嘅疾病噉呀机会都几高咖噉呀
cantonese_140917_361288-11	往往就因为呢啲疾病哩佢唔系即时性嘅噉到我地发现哩系需要
cantonese_140917_361288-12	去医嘅时候哩就要付出好多嘅钱呀噉呀讲番哩系有
cantonese_140917_361288-15	严重落去呀有学者就预计哩会系二零五零年嘅时候哩有一
